First Name;Last Name;Customer name;Customer Email;Customer Address;Customer Phone;Region;Company;Position;Lead source;Creation date;Expected close date;Sales rep;Deal value;Comission (%);Comission ($);Status;Stage;Priority;Insert_date;update_date
Marjie;Neasham;Marjie Neasham;Marjie.Neasham@gmail.com;Babylon, New York(NY), 11704;(704) 843-4347;NY;Carol Company;Adm;Paid Ads;26/10/2022;25/11/2022;John Smith;25 000,00;30%;7500;Open;Contact/Meeting;Medium;27/12/2022;01/11/2022
Sorcha;Keyson;Sorcha Keyson;Sorcha.Keyson@gmail.com;Babylon, New York(NY), 11705;(704) 843-4348;NY;Carol Company;Adm;Paid Ads;27/10/2022;26/11/2022;John Smith;30 000,00;20%;6000;Lead;Written Proposal;Medium;28/12/2022;02/11/2022
Basile;Firth;Basile Firth;Basile.Firth@gmail.com;Babylon, New York(NY), 11706;(704) 843-4349;NY;Carol Company;Adm;Paid Ads;28/10/2022;27/11/2022;John Smith;10 000,00;30%;3000;Won;Contact/Meeting;High;29/12/2022;03/11/2022
Mile;Cammocke;Mile Cammocke;Mile.Cammocke@gmail.com;Babylon, New York(NY), 11707;(704) 843-4350;NY;Carol Company;Adm;Paid Ads;29/10/2022;28/11/2022;John Smith;25 000,00;12%;3000;Won;Contact/Meeting;Medium;30/12/2022;04/11/2022
Deeanne;Durtnell;Deeanne Durtnell;Deeanne.Durtnell@gmail.com;Babylon, New York(NY), 11708;(704) 843-4351;NY;Carol Company;Adm;Paid Ads;30/10/2022;29/11/2022;John Smith;500;30%;150;On Hold;Invoice;High;31/12/2022;05/11/2022
Olav;Polak;Olav Polak;Olav.Polak@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;31/10/2022;30/11/2022;John Smith;5 000,00;10%;500;Open;Contact/Meeting;High;01/01/2023;06/11/2022
Kim;Skpsey;Kim Skpsey;Kim.Skpsey@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;11/01/2022;10/02/2022;John Smith;15 200,00;15%;2280;Lead;Negotiation;Low;02/01/2023;07/11/2022
Geoff;Assaf;Geoff Assaf;Geoff.Assaf@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;11/02/2022;13/03/2022;John Smith;13 582,00;15%;2037,3;Sales qualified lead;Contact/Meeting;Medium;03/01/2023;08/11/2022
Trixi;Ginnelly;Trixi Ginnelly;Trixi.Ginnelly@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;11/03/2022;10/04/2022;John Smith;16 500,00;12%;1980;Open;Opportunity;High;04/01/2023;09/11/2022
Garvin;Klees;Garvin Klees;Garvin.Klees@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;11/04/2022;11/05/2022;John Smith;11 000,00;30%;3300;On Hold;Solution;Medium;05/01/2023;10/11/2022
Fee;Zellmer;Fee Zellmer;Fee.Zellmer@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;11/05/2022;10/06/2022;John Smith;15 000,00;5%;750;Won;Contact/Meeting;Low;06/01/2023;11/11/2022
Mona;Sancraft;Mona Sancraft;Mona.Sancraft@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;11/06/2022;11/07/2022;John Smith;15 000,00;30%;4500;Lead;Written Proposal;Medium;07/01/2023;12/11/2022
Darrick;Helleckas;Darrick Helleckas;Darrick.Helleckas@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Paid Ads;11/07/2022;10/08/2022;John Smith;2 500,00;20%;500;Won;Contact/Meeting;High;08/01/2023;13/11/2022
Star;Praton;Star Praton;Star.Praton@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;11/08/2022;10/09/2022;John Smith;25 000,00;12%;3000;Won;Contact/Meeting;Medium;09/01/2023;14/11/2022
Marion;Vanichkin;Marion Vanichkin;Marion.Vanichkin@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;11/09/2022;11/10/2022;John Smith;500;30%;150;Won;Contact/Meeting;Low;10/01/2023;15/11/2022
Ernst;Hacon;Ernst Hacon;Ernst.Hacon@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;11/10/2022;10/11/2022;John Smith;5 000,00;5%;250;Won;Contact/Meeting;Medium;11/01/2023;16/11/2022
Jephthah;Bachmann;Jephthah Bachmann;Jephthah.Bachmann@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;11/11/2022;11/12/2022;John Smith;15 200,00;30%;4560;Lost;Refund;Medium;12/01/2023;17/11/2022
Margaretha;Strettle;Margaretha Strettle;Margaretha.Strettle@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;11/12/2022;10/01/2023;John Smith;13 582,00;12%;1629,84;On Hold;Lead qualification;High;13/01/2023;18/11/2022
Lurette;Stonnell;Lurette Stonnell;Lurette.Stonnell@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;13/11/2022;13/12/2022;John Smith;16 500,00;30%;4950;Open;Contact/Meeting;Medium;14/01/2023;19/11/2022
Laurie;Dwerryhouse;Laurie Dwerryhouse;Laurie.Dwerryhouse@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;14/11/2022;14/12/2022;John Smith;1 000,00;5%;50;Open;Contact/Meeting;Medium;15/01/2023;20/11/2022
Cordi;Merman;Cordi Merman;Cordi.Merman@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Paid Ads;15/11/2022;15/12/2022;John Smith;25 000,00;30%;7500;Open;Contact/Meeting;Medium;16/01/2023;21/11/2022
Hunfredo;Smalley;Hunfredo Smalley;Hunfredo.Smalley@gmail.com;Babylon, New York(NY), 11703;(704) 843-4346;NY;Carol Company;Adm;Paid Ads;16/11/2022;16/12/2022;John Smith;500;12%;60;Open;Contact/Meeting;Medium;17/01/2023;22/11/2022
Tomasine;Jerche;Tomasine Jerche;Tomasine.Jerche@gmail.com;Babylon, New York(NY), 11704;(704) 843-4347;NY;Carol Company;Adm;Paid Ads;17/11/2022;17/12/2022;John Smith;25 000,00;30%;7500;Open;Contact/Meeting;Medium;18/01/2023;23/11/2022
Basilius;Coupe;Basilius Coupe;Basilius.Coupe@gmail.com;Babylon, New York(NY), 11705;(704) 843-4348;NY;Carol Company;Adm;Paid Ads;18/11/2022;18/12/2022;John Smith;30 000,00;20%;6000;Lead;Written Proposal;Medium;19/01/2023;24/11/2022
Chiquita;Durnall;Chiquita Durnall;Chiquita.Durnall@gmail.com;Babylon, New York(NY), 11706;(704) 843-4349;NY;Carol Company;Adm;Paid Ads;19/11/2022;19/12/2022;John Smith;10 000,00;30%;3000;Won;Contact/Meeting;High;20/01/2023;25/11/2022
Indira;Belt;Indira Belt;Indira.Belt@gmail.com;Babylon, New York(NY), 11707;(704) 843-4350;NY;Carol Company;Adm;Paid Ads;20/11/2022;20/12/2022;John Smith;25 000,00;12%;3000;Won;Contact/Meeting;Medium;21/01/2023;26/11/2022
Neron;Verick;Neron Verick;Neron.Verick@gmail.com;Babylon, New York(NY), 11708;(704) 843-4351;NY;Carol Company;Adm;Paid Ads;21/11/2022;21/12/2022;John Smith;500;30%;150;On Hold;Invoice;High;22/01/2023;27/11/2022
Trace;Woodhead;Trace Woodhead;Trace.Woodhead@gmail.com;Babylon, New York(NY), 11707;(704) 843-4350;NY;Carol Company;Adm;Paid Ads;22/11/2022;22/12/2022;John Smith;500;12%;60;Won;Purchase Order;Medium;23/01/2023;28/11/2022
Kaila;Allin;Kaila Allin;Kaila.Allin@gmail.com;Babylon, New York(NY), 11708;(704) 843-4351;NY;Carol Company;Adm;Paid Ads;23/11/2022;23/12/2022;John Smith;25 000,00;30%;7500;On Hold;Invoice;High;24/01/2023;29/11/2022
Matthew;Jeaycock;Matthew Jeaycock;Matthew.Jeaycock@gmail.com;Babylon, New York(NY), 11709;(704) 843-4352;NY;Carol Company;Adm;Paid Ads;24/11/2022;24/12/2022;John Smith;30 000,00;5%;1500;Won;Payment;Medium;25/01/2023;30/11/2022
Rebbecca;Casone;Rebbecca Casone;Rebbecca.Casone@gmail.com;Babylon, New York(NY), 11710;(704) 843-4353;NY;Carol Company;Adm;Paid Ads;25/11/2022;25/12/2022;John Smith;20 000,00;30%;6000;Lost;Refund;Low;26/01/2023;01/12/2022
Nolly;Ownsworth;Nolly Ownsworth;Nolly.Ownsworth@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;26/11/2022;26/12/2022;John Smith;25 000,00;10%;2500;Marketing qualified lead;Lead qualification;Medium;27/01/2023;02/12/2022
Whitby;Schapero;Whitby Schapero;Whitby.Schapero@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;27/11/2022;27/12/2022;John Smith;50 000,00;15%;7500;Lead;Negotiation;Low;28/01/2023;03/12/2022
Fidelio;Dilke;Fidelio Dilke;Fidelio.Dilke@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;28/11/2022;28/12/2022;John Smith;16 800,00;15%;2520;Sales qualified lead;Contact/Meeting;Medium;29/01/2023;04/12/2022
Curran;Bentson;Curran Bentson;Curran.Bentson@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;29/11/2022;29/12/2022;John Smith;10 000,00;12%;1200;Open;Opportunity;High;30/01/2023;05/12/2022
Agnella;Gocke;Agnella Gocke;Agnella.Gocke@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;30/11/2022;30/12/2022;John Smith;25 000,00;30%;7500;On Hold;Solution;Medium;31/01/2023;06/12/2022
Loralyn;Wonfor;Loralyn Wonfor;Loralyn.Wonfor@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;12/01/2022;11/02/2022;John Smith;16 800,00;5%;840;Won;Proposal Discussed;Low;01/02/2023;07/12/2022
Linc;Jillions;Linc Jillions;Linc.Jillions@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;12/02/2022;14/03/2022;John Smith;10 000,00;30%;3000;Lead;Written Proposal;Medium;02/02/2023;08/12/2022
Reese;Ensor;Reese Ensor;Reese.Ensor@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Email;12/03/2022;11/04/2022;John Smith;25 000,00;20%;5000;Won;Contract;High;03/02/2023;09/12/2022
Abba;Masedon;Abba Masedon;Abba.Masedon@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;12/04/2022;12/05/2022;John Smith;500;12%;60;Won;Purchase Order;Medium;04/02/2023;10/12/2022
Dalenna;Pinnock;Dalenna Pinnock;Dalenna.Pinnock@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;12/05/2022;11/06/2022;John Smith;25 000,00;30%;7500;Won;Invoice;Low;05/02/2023;11/12/2022
Niki;Heathcote;Niki Heathcote;Niki.Heathcote@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;12/06/2022;12/07/2022;John Smith;16 800,00;5%;840;Won;Payment;Medium;06/02/2023;12/12/2022
Nadiya;Champerlen;Nadiya Champerlen;Nadiya.Champerlen@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;12/07/2022;11/08/2022;John Smith;10 000,00;30%;3000;Lost;Refund;Medium;07/02/2023;13/12/2022
Kacey;Rowbottom;Kacey Rowbottom;Kacey.Rowbottom@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;12/08/2022;11/09/2022;John Smith;25 000,00;12%;3000;On Hold;Lead qualification;High;08/02/2023;14/12/2022
Sorcha;Roggers;Sorcha Roggers;Sorcha.Roggers@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;12/09/2022;12/10/2022;John Smith;500;30%;150;Open;Negotiation;Medium;09/02/2023;15/12/2022
Ebony;Zini;Ebony Zini;Ebony.Zini@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;12/10/2022;11/11/2022;John Smith;25 000,00;5%;1250;Open;Contact/Meeting;Low;10/02/2023;16/12/2022
Gerek;Yve;Gerek Yve;Gerek.Yve@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Web;12/11/2022;12/12/2022;John Smith;500;30%;150;Open;Opportunity;Medium;11/02/2023;17/12/2022
Yale;Tanser;Yale Tanser;Yale.Tanser@gmail.com;Babylon, New York(NY), 11703;(704) 843-4346;NY;Carol Company;Adm;Paid Ads;12/12/2022;11/01/2023;John Smith;14 000,00;12%;1680;Open;Solution;High;12/02/2023;18/12/2022
Anselm;Gawne;Anselm Gawne;Anselm.Gawne@gmail.com;Babylon, New York(NY), 11704;(704) 843-4347;NY;Carol Company;Adm;Paid Ads;13/12/2022;12/01/2023;John Smith;15 000,00;30%;4500;Open;Proposal Discussed;High;13/02/2023;19/12/2022
Vernon;;Vernon ;Vernon.@gmail.com;Babylon, New York(NY), 11705;(704) 843-4348;NY;Carol Company;Adm;Paid Ads;14/12/2022;13/01/2023;John Smith;1 500,00;20%;300;Lead;Written Proposal;Medium;14/02/2023;20/12/2022
Dahlia;Eddoes;Dahlia Eddoes;Dahlia.Eddoes@gmail.com;Babylon, New York(NY), 11706;(704) 843-4349;NY;Carol Company;Adm;Paid Ads;15/12/2022;14/01/2023;John Smith;5 000,00;30%;1500;Won;Contract;High;15/02/2023;21/12/2022
Heidi;Milner;Heidi Milner;Heidi.Milner@gmail.com;Babylon, New York(NY), 11707;(704) 843-4350;NY;Carol Company;Adm;Paid Ads;16/12/2022;15/01/2023;John Smith;80 000,00;12%;9600;Won;Purchase Order;Medium;16/02/2023;22/12/2022
Foster;Vannoort;Foster Vannoort;Foster.Vannoort@gmail.com;Babylon, New York(NY), 11708;(704) 843-4351;NY;Carol Company;Adm;Paid Ads;17/12/2022;16/01/2023;Sarah Davis;20 000,00;30%;6000;On Hold;Invoice;High;17/02/2023;23/12/2022
Hoyt;Glavias;Hoyt Glavias;Hoyt.Glavias@gmail.com;Babylon, New York(NY), 11709;(704) 843-4352;NY;Carol Company;Adm;Paid Ads;18/12/2022;17/01/2023;Sarah Davis;12 500,00;5%;625;Won;Payment;Medium;18/02/2023;24/12/2022
Sammy;Cheese;Sammy Cheese;Sammy.Cheese@gmail.com;Babylon, New York(NY), 11710;(704) 843-4353;NY;Carol Company;Adm;Paid Ads;19/12/2022;18/01/2023;Kim Johson;5 000,00;30%;1500;Lost;Refund;Low;19/02/2023;25/12/2022
Minette;Worters;Minette Worters;Minette.Worters@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;20/12/2022;19/01/2023;John Smith;10 000,00;10%;1000;Marketing qualified lead;Lead qualification;Medium;20/02/2023;26/12/2022
Pansy;Kiddie;Pansy Kiddie;Pansy.Kiddie@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;21/12/2022;20/01/2023;John Smith;11 000,00;15%;1650;Lead;Negotiation;Low;21/02/2023;27/12/2022
Dollie;Sealy;Dollie Sealy;Dollie.Sealy@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;22/12/2022;21/01/2023;John Smith;5 000,00;15%;750;Sales qualified lead;Contact/Meeting;High;22/02/2023;28/12/2022
Rea;Hasser;Rea Hasser;Rea.Hasser@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;23/12/2022;22/01/2023;Sarah Davis;1 000,00;12%;120;Open;Opportunity;High;23/02/2023;29/12/2022
Shermie;Andrin;Shermie Andrin;Shermie.Andrin@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;24/12/2022;23/01/2023;Sarah Davis;25 000,00;30%;7500;On Hold;Solution;Medium;24/02/2023;30/12/2022
Arch;Van der Kruis;Arch Van der Kruis;Arch.Van der Kruis@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;25/12/2022;24/01/2023;Sarah Davis;500;5%;25;Won;Proposal Discussed;Low;25/02/2023;31/12/2022
Tybi;Silliman;Tybi Silliman;Tybi.Silliman@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;26/12/2022;25/01/2023;Sarah Davis;25 000,00;30%;7500;Lead;Written Proposal;Medium;26/02/2023;01/01/2023
Pablo;Small;Pablo Small;Pablo.Small@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Paid Ads;27/12/2022;26/01/2023;Kim Johson;30 000,00;20%;6000;Won;Contract;High;27/02/2023;02/01/2023
Bee;Blazewicz;Bee Blazewicz;Bee.Blazewicz@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;28/12/2022;27/01/2023;Kim Johson;10 000,00;12%;1200;Won;Purchase Order;Medium;28/02/2023;03/01/2023
Gleda;Cokely;Gleda Cokely;Gleda.Cokely@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;29/12/2022;28/01/2023;Kim Johson;25 000,00;30%;7500;Won;Invoice;Low;01/03/2023;04/01/2023
Kerr;Simmell;Kerr Simmell;Kerr.Simmell@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;30/12/2022;29/01/2023;Caroline Lewis;500;5%;25;Won;Payment;Medium;02/03/2023;05/01/2023
Rich;Mathiasen;Rich Mathiasen;Rich.Mathiasen@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;31/12/2022;30/01/2023;Caroline Lewis;3 500,00;30%;1050;Lost;Refund;Medium;03/03/2023;06/01/2023
Kane;Tixall;Kane Tixall;Kane.Tixall@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;01/01/2023;31/01/2023;Caroline Lewis;10 000,00;12%;1200;On Hold;Lead qualification;High;04/03/2023;07/01/2023
Job;Sleney;Job Sleney;Job.Sleney@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;01/02/2023;03/03/2023;Caroline Lewis;11 000,00;30%;3300;Open;Negotiation;Medium;05/03/2023;08/01/2023
Fields;Langdon;Fields Langdon;Fields.Langdon@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;01/03/2023;31/03/2023;Noah Harris;25 000,00;5%;1250;Open;Contact/Meeting;Low;06/03/2023;09/01/2023
Malynda;Tumber;Malynda Tumber;Malynda.Tumber@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Paid Ads;01/04/2023;01/05/2023;Noah Harris;500;30%;150;Open;Opportunity;Medium;07/03/2023;10/01/2023
Benedicto;Hoxey;Benedicto Hoxey;Benedicto.Hoxey@gmail.com;Babylon, New York(NY), 11703;(704) 843-4346;NY;Carol Company;Adm;Paid Ads;01/05/2023;31/05/2023;Noah Harris;14 000,00;12%;1680;Open;Solution;High;08/03/2023;11/01/2023
Cary;Garron;Cary Garron;Cary.Garron@gmail.com;Babylon, New York(NY), 11704;(704) 843-4347;NY;Carol Company;Adm;Paid Ads;01/06/2023;01/07/2023;Noah Harris;15 000,00;30%;4500;Open;Proposal Discussed;High;09/03/2023;12/01/2023
Dylan;Meaker;Dylan Meaker;Dylan.Meaker@gmail.com;Babylon, New York(NY), 11705;(704) 843-4348;NY;Carol Company;Adm;Paid Ads;01/07/2023;31/07/2023;Noah Harris;1 500,00;20%;300;Lead;Written Proposal;Medium;10/03/2023;13/01/2023
Jodee;Judkins;Jodee Judkins;Jodee.Judkins@gmail.com;Babylon, New York(NY), 11706;(704) 843-4349;NY;Carol Company;Adm;Paid Ads;01/08/2023;31/08/2023;John Smith;5 000,00;30%;1500;Won;Contract;Low;11/03/2023;14/01/2023
Gordon;Gowar;Gordon Gowar;Gordon.Gowar@gmail.com;Babylon, New York(NY), 11707;(704) 843-4350;NY;Carol Company;Adm;Paid Ads;01/09/2023;01/10/2023;John Smith;80 000,00;12%;9600;Won;Purchase Order;Medium;12/03/2023;15/01/2023
Wallache;Simchenko;Wallache Simchenko;Wallache.Simchenko@gmail.com;Babylon, New York(NY), 11708;(704) 843-4351;NY;Carol Company;Adm;Paid Ads;01/10/2023;31/10/2023;Sarah Davis;20 000,00;30%;6000;On Hold;Invoice;High;13/03/2023;16/01/2023
Nomi;Mallinder;Nomi Mallinder;Nomi.Mallinder@gmail.com;Babylon, New York(NY), 11709;(704) 843-4352;NY;Carol Company;Adm;Paid Ads;01/11/2023;01/12/2023;Sarah Davis;12 500,00;5%;625;Won;Payment;Medium;14/03/2023;17/01/2023
Heath;Olford;Heath Olford;Heath.Olford@gmail.com;Babylon, New York(NY), 11710;(704) 843-4353;NY;Carol Company;Adm;Paid Ads;01/12/2023;31/12/2023;Kim Johson;5 000,00;30%;1500;Lost;Refund;Low;15/03/2023;18/01/2023
Arne;Corain;Arne Corain;Arne.Corain@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;13/01/2023;12/02/2023;John Smith;10 000,00;10%;1000;Marketing qualified lead;Lead qualification;Medium;16/03/2023;19/01/2023
Allianora;Babalola;Allianora Babalola;Allianora.Babalola@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;14/01/2023;13/02/2023;John Smith;11 000,00;15%;1650;Lead;Negotiation;High;17/03/2023;20/01/2023
Reggie;Mulliner;Reggie Mulliner;Reggie.Mulliner@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;15/01/2023;14/02/2023;John Smith;5 000,00;15%;750;Sales qualified lead;Contact/Meeting;Medium;18/03/2023;21/01/2023
